Country Name,1968,1961
Aruba,,
Afghanistan,0.11549774,0.053604304
Angola,0.256315998,0.079038085
Albania,1.519551277,1.374186047
Andorra,,
Arab World,1.544942527,0.685150884
United Arab Emirates,6.785773552,0.10883674
Argentina,2.96985458,2.442615898
Armenia,,
American Samoa,,
Antigua and Barbuda,15.31343284,0.849084497
Australia,11.21016771,8.641569017
Austria,5.711110104,4.496361641
Azerbaijan,,
Burundi,0.016586591,
Belgium,12.32568713,10.10387199
Benin,0.055170709,0.05204863
Burkina Faso,0.018894962,0.018729901
Bangladesh,,
Bulgaria,7.112214403,3.269920074
Bahrain,5.500874644,10.54928109
"Bahamas, The",10.2871201,4.746698752
Bosnia and Herzegovina,,
Belarus,,
Belize,0.884672715,0.387210542
Bermuda,4.220509434,3.868483516
Bolivia,0.503738613,0.276621442
Brazil,0.854945684,0.661770535
Barbados,1.85515116,0.838884141
Brunei Darussalam,3.637465028,3.555785317
Bhutan,,
Botswana,,
Central African Republic,0.104452461,0.057550645
Canada,14.6326452,10.62789765
Central Europe and the Baltics,7.381375836,5.33028196
Switzerland,5.937701579,3.751824984
Channel Islands,,
Chile,2.309827745,1.834393262
China,0.605451997,0.836046901
Cote d'Ivoire,0.364858338,0.149888
Cameroon,0.081511439,0.053424155
"Congo, Dem. Rep.",0.178180978,0.15078151
"Congo, Rep.",0.350318753,0.251563042
Colombia,1.272614681,1.072742792
Comoros,0.083123654,0.056665585
Cabo Verde,0.113922232,0.106828643
Costa Rica,0.59406916,0.355577072
Caribbean small states,2.934597993,2.058175437
Cuba,1.90599878,1.671065126
Curacao,,
Cayman Islands,2.549183177,1.370670321
Cyprus,2.714285714,1.501421768
Czech Republic,,
Germany,,
Djibouti,0.861521266,0.497231576
Dominica,0.31868482,0.180249705
Denmark,10.96131479,6.881260155
Dominican Republic,0.553066629,0.302506327
Algeria,0.659262359,0.531809994
East Asia & Pacific (excluding high income),0.553267696,0.697259817
Early-demographic dividend,0.818719261,0.604617141
East Asia & Pacific,1.125185784,0.9977325
Europe & Central Asia (excluding high income),,
Europe & Central Asia,,
Ecuador,0.543884335,0.352048886
"Egypt, Arab Rep.",0.686218182,0.615909078
Euro area,,
Eritrea,,
Spain,2.93409754,1.74622172
Estonia,,
Ethiopia,0.064096784,0.015042483
European Union,7.592302028,5.922286133
Fragile and conflict affected situations,0.681328576,0.285566492
Finland,7.200890139,3.348877215
Fiji,0.79383113,0.414293293
France,7.501194027,5.927130464
Faroe Islands,4.79973822,3.237277517
"Micronesia, Fed. Sts.",,
Gabon,3.46693516,0.327302263
United Kingdom,10.99348823,11.15413892
Georgia,,
Ghana,0.214550871,0.195992333
